,positivity,uniqueness,formality
0,0.6337479203939438,0.9711838876828551,0.07392826676368713
1,0.9296130798757076,0.9026826061308384,0.1292995810508728
2,0.47230932116508484,0.9409669265151024,0.46770593523979187
3,0.6364785581827164,0.9393473081290722,0.3334777057170868
4,0.8270003944635391,0.8160356730222702,0.7289239019155502
5,0.15597033500671387,0.9385093580931425,0.12079456448554993
6,0.793305903673172,0.8563072457909584,0.02549499273300171
7,0.8914079926908016,0.939107159152627,0.5145915597677231
8,0.44554439187049866,0.9731782330200076,0.18230116367340088
9,0.40786778926849365,0.9179934151470661,0.44442811608314514
10,0.9721722463145852,0.9344072230160236,0.20289260149002075
11,0.683804377913475,0.9295748881995678,0.07790479063987732
12,0.05182164907455444,0.8407104983925819,0.04243266582489014
13,0.7147534936666489,0.8020987287163734,0.031951844692230225
14,0.9463958647102118,0.9081026203930378,0.42390620708465576
15,0.21984228491783142,0.8568489626049995,0.04335615038871765
16,0.3665860891342163,0.8947017341852188,0.1306953728199005
17,0.6648780256509781,0.930619727820158,0.3017059564590454
18,0.7467118501663208,0.9763727011159062,0.1274217665195465
19,0.9286835230886936,0.9540212843567133,0.21173185110092163
20,0.9489172976464033,0.9575981553643942,0.2281598150730133
21,0.15615779161453247,0.9764812886714935,0.3108901083469391
22,0.9707160899415612,0.8946717828512192,0.27217069268226624
23,0.4638535976409912,0.946869345381856,0.19355642795562744
24,0.8799977116286755,0.9465361330658197,0.2899821996688843
25,0.5136297792196274,0.966164130717516,0.1307283341884613
26,0.12455430626869202,0.9342802837491035,0.046994537115097046
27,0.10449957847595215,0.8770653009414673,0.5234221071004868
28,0.753997378051281,0.9148550219833851,0.23827499151229858
29,0.26526495814323425,0.9480778034776449,0.6409846246242523
30,0.9733790000900626,0.9636554773896933,0.5524504780769348
31,0.3409382402896881,0.9702697489410639,0.6336537599563599
32,0.8873227201402187,0.9000916369259357,0.4913605749607086
33,0.3937804698944092,0.8685315698385239,0.3447999656200409
34,0.547550693154335,0.9443533141165972,0.3691425025463104
